ciclo,nodo,evento,desde,probabilidad,patch_lv,infectados_total,intencion
0,fw1,PARCHEO,-,-,21,1,patch
1,fw1,PARCHEO,-,-,31,1,patch
2,fw1,PARCHEO,-,-,41,1,patch
3,fw1,PARCHEO,-,-,51,1,patch
31,fw1,Infeccion_Exitosa,internet,0.0693,51,2,spread
32,sw1,PARCHEO,-,-,20,2,patch
32,sw1,Infeccion_Exitosa,fw1,0.30333333333333334,20,3,spread
77,pc1,Infeccion_Exitosa,sw1,0.35,14,4,spread
82,pc2,Infeccion_Exitosa,pc1,0.35,20,5,spread
87,pc4,Infeccion_Exitosa,pc2,0.35,17,6,spread
87,pc3,Infeccion_Exitosa,pc4,0.35,11,7,spread
88,-,ALERTA_CRITICA,-,-,-,7,-
88,pc1,AISLADO_EMERGENCIA,-,-,14,7,isolated
88,pc2,AISLADO_EMERGENCIA,-,-,20,7,isolated
88,pc3,AISLADO_EMERGENCIA,-,-,11,7,isolated
88,pc4,AISLADO_EMERGENCIA,-,-,17,7,isolated
88,sw1,AISLADO_EMERGENCIA,-,-,20,7,isolated
88,fw1,AISLADO_EMERGENCIA,-,-,51,7,isolated
